restaurant name,restaurant address
Caracol,"2200 Post Oak Blvd #160, Houston, TX 77056"
CARIBBEAN JERK PALACE,"5400 Pointe West Cir, Richmond, TX 77469"
Carrabba's - The Original,"3115 Kirby Dr, Houston, TX 77098"
Carrabba's - The Original on Voss,"1399 S Voss Rd, Houston, TX 77057"
Casa Do Brasil,"2800 Kirby Dr Suite B100, Houston, TX 77098"
Chalong Thai Eatery,"1650 W Loop S, Houston, TX 77027"
Chardon,"1133 N Shepherd Dr, Houston, TX 77008"
Churrascos Memorial City,"947 Gessner Rd, Houston, TX 77024"
Churrascos Sugarland,"1520 Texas Dr, Sugar Land, TX 77479"
Churrascos Woodlands,"21 Waterway Ave, The Woodlands, TX 77380"
Citizens Grill,"315 Enclave Dr, Conroe, TX 77384"
City Cellars,"1801 Binz St, Houston, TX 77004"
Clawdaddy Crawfish & Seafood,"1106 Silber Rd, Houston, TX 77055"
Clay's Restaurant,"17717 Clay Rd, Houston, TX 77084"
Cocody Restaurant & Bar,"1971 W Gray St, Houston, TX 77019"
Coltivare Pizza & Garden,"3320 White Oak Dr, Houston, TX 77007"
Coppa Osteria,"5210 Morningside Dr, Houston, TX 77005"
Cowboys & Indians,"519 Shepherd Dr, Houston, TX 77007"
CRISP wine-beer-eatery,"2220 Bevis St, Houston, TX 77008"
Cultivated F+B,"701 Texas Ave, Houston, TX 77002"
da Gama Canteen,"600 N Shepherd Dr #520, Houston, TX 77007"
Daily Gather,"800 Sorella Ct #940, Houston, TX 77024"
Dario's Steakhouse & Seafood,"14315 Cypress Rosehill Rd, Cypress, TX 77429"
Del Frisco's Double Eagle Steakhouse,"5061 Westheimer Rd Suite 8060, Houston, TX 77056"
Del Frisco's Grille,"1900 Hughes Landing Blvd Suite 500, The Woodlands, TX 77380"
district 7 midtown,"1201 San Jacinto St, Houston, TX 77002"
Doko,"600 N Shepherd Dr, Houston, TX 77007"
Dough Zone Houston Westchase,"9934 Jones Rd, Houston, TX 77065"
Dough Zone Midtown,"2715 Bissonnet St, Houston, TX 77005"
Dough Zone Sugar Land,"3538 Hwy 6, Sugar Land, TX 77478"
Downtown Aquarium Houston,"410 Bagby St, Houston, TX 77002"
eculent,"709 Harris Ave, Kemah, TX 77565"
Eddie V's - West Ave - Copy,"2800 Kirby Dr, Houston, TX 77098"
Eddie V's City Centre (Copy),"1248 Queensbury Ln, Houston, TX 77024"
El Meson Spanish Restaurant,"2425 University Blvd, Houston, TX 77005"
Ema Japanese Cuisine,"2207 Richmond Ave, Houston, TX 77098"
Ember & Greens,"9403B Katy Fwy, Houston, TX 77024"
Ember + Lotus,"15344 Northwest Fwy, Houston, TX 77040"
Enoteca Rossa,"4566 Bissonnet St, Bellaire, TX 77401"
Epicure Café,"2005 W Gray St, Houston, TX 77019"
Etoile Cuisine et Bar,"1101-11 Uptown Park Blvd, Houston, TX 77056"
Eugene's Gulf Coast Cuisine,"1985 Welch St, Houston, TX 77019"
Exilio Latin Flair,"2817 W Dallas St Bldg C, Houston, TX 77019"
Fadi's Mediterranean - Dairy Ashford,"10403 Katy Fwy, Houston, TX 77024"
Fadi's Mediterranean - Galleria,"4738 Westheimer Rd, Houston, TX 77027"
Fadi's Mediterranean - Katy,"21792 Katy Fwy, Katy, TX 77449"
Fadi's Mediterranean - Memorial 110,"10403 Katy Fwy, Houston, TX 77024"
Fadi's Mediterranean - Museum District,"1801 Binz St, Houston, TX 77004"
Fadi's Mediterranean - Sugar Land,"716 Hwy 6, Sugar Land, TX 77478"
Federal American Grill - Downtown,"1221 McKinney St, Houston, TX 77010"
Federal American Grill - Hedwig Village,"8731 Katy Fwy, Houston, TX 77024"
Federal American Grill - Katy,"727 W Grand Pkwy S, Katy, TX 77494"
Federal American Grill - River Oaks,"510 Shepherd Dr, Houston, TX 77007"
Federal American Grill - Shepherd,"510 Shepherd Dr, Houston, TX 77007"
Federal American Grill - Woodlands,"27700 Interstate 45 N, Oak Ridge North, TX 77385"
Field & Tides,"705 E 11th St, Houston, TX 77008"
Fielding's Local,"26400 Kuykendahl Rd, The Woodlands, TX 77375"
Fielding's Steak,"1900 Hughes Landing Blvd, The Woodlands, TX 77380"
Fielding's Wood Grill,"1699 Research Forest Dr, Shenandoah, TX 77380"
Flora,"3422 Allen Pkwy, Houston, TX 77019"
Foundation Room Houston,"1204 Caroline St, Houston, TX 77002"
Fratellis Ristorante,"1330 Wirt Rd, Houston, TX 77055"
Fuad's Restaurant,"6100 Westheimer Rd, Houston, TX 77057"
Gauchos Do Sul Brazilian Steakhouse - Katy,"910 W Grand Pkwy S, Katy, TX 77494"
Gauchos Do Sul Brazilian Steakhouse - Vintage Park,"126 Vintage Park Blvd, Houston, TX 77070"
Gauchos Do Sul Brazilian Steakhouse Webster,"20810 Gulf Fwy, Webster, TX 77598"
Georgia James Steak,"3503 W Dallas St, Houston, TX 77019"
Good Charlies Oyster Bar and Seafood Kitchen,"545 Woodlands Square Blvd, Conroe, TX 77384"
Grace's on Kirby,"3111 Kirby Dr, Houston, TX 77098"
Granger's Restaurant & Bar,"1200 Binz St, Houston, TX 77004"
Grotto,"4715 Westheimer Rd, Houston, TX 77027"
Grotto Downtown,"1001 Avenida De Las Americas, Houston, TX 77010"
Guard and Grace,"500 Dallas St, Houston, TX 77002"
Gyu-Kaku Houston Memorial,"11301 Katy Fwy, Houston, TX 77079"
Gyu-Kaku Japanese BBQ Midtown,"510 Gray St, Houston, TX 77002"
Gyu-Kaku Sugar Land,"1531 Hwy 6, Sugar Land, TX 77478"
Gyu-Kaku Willowbrook,"17395 Tomball Pkwy, Houston, TX 77064"
Haiii Keii,"3300 Kirby Dr Ste 9A, Houston, TX 77098"
Hamsa,"5555 Washington Ave, Houston, TX 77007"
Hearsay Levy Park,"3728 Wakeforest St, Houston, TX 77098"
Hearsay Market Square,"218 Travis St, Houston, TX 77002"
Hearsay on the Green,"1515 Dallas St, Houston, TX 77010"
Hearsay on The Waterway,"20 Waterway Ave, The Woodlands, TX 77380"
Heights & Co. Restaurant + Bar,"1343 Yale St, Houston, TX 77008"
Himari,"1223 W 34th St Suite C500, Houston, TX 77018"
Hughie's Tavern & Grille - N Shepherd,"1802 W 18th St, Houston, TX 77008"
Hughie's Tavern & Grille - W 18th,"1802 W 18th St, Houston, TX 77008"
Hugo's,"1600 Westheimer Rd, Houston, TX 77006"
Ichijiku Sushi,"9393 Bellaire Blvd Suite C, Houston, TX 77036"
Johnny Ritas Cocina y Cantina,"2800 Kirby Dr, Houston, TX 77098"
Johnny's Italian Steakhouse,"19333 David Memorial Dr, Shenandoah, TX 77385"
Joyce's Seafood & Steaks,"6415 San Felipe St, Houston, TX 77057"
Juliet,"5857 Westheimer Rd, Houston, TX 77057"
Karbach Restaurant and Patio,"2032 Karbach St, Houston, TX 77092"
Kin Dee Thai Cuisine,"1533 N Shepherd Dr, Houston, TX 77008"
King Ranch Texas Kitchen,"1605 Post Oak Blvd, Houston, TX 77056"
King Steak,"1605 Post Oak Blvd, Houston, TX 77056"
Kings Kitchen at Champions Club Texas,"1200 Binz St, Houston, TX 77004"
Kirkwood,"11720 Katy Fwy Suite 140, Houston, TX 77079"
KISS Houston,"2525 Washington Ave, Houston, TX 77007"
Kitchen Rumors,"2310 Decatur St, Houston, TX 77007"
Kokoro Handroll Bar,"409 Travis St, Houston, TX 77002"
Kokoro Sushi and Yakitori,"409 Travis St, Houston, TX 77002"
KRUA Thai & Sushi,"5201 Washington Ave, Houston, TX 77007"
KUU Restaurant,"947 Gessner Rd, Houston, TX 77024"
La Griglia,"2817 W Dallas St, Houston, TX 77019"
Lafisheria,"213 Milam St, Houston, TX 77002"
LandShark Bar & Grill,"600 Margaritaville Park Way, Montgomery, TX 77356"
LATIN BITES,"5709 Woodway Dr, Houston, TX 77057"
LATULI,"8900 Gaylord Dr, Houston, TX 77024"
Lazy Lane Restaurant,"2200 Post Oak Blvd, Houston, TX 77056"
Le Colonial,"4444 Westheimer Rd, Houston, TX 77027"
Le Jardinier,"5500 Main St, Houston, TX 77004"
Leo's River Oaks,"2009 W Gray St, Houston, TX 77019"
Liberty Kitchen & Oysterette - Memorial City,"963 Bunker Hill Rd, Houston, TX 77024"
Liberty Kitchen & Oysterette - Rice Village,"4224 San Felipe St, Houston, TX 77027"
Liberty Kitchen & Oysterette - River Oaks,"4224 San Felipe St, Houston, TX 77027"
Loch Bar,"4444 Westheimer Rd Suite G110, Houston, TX 77027"
Los Cochinitos,"21005 Interstate 45, Spring, TX 77388"
Lucille's,"5512 La Branch St, Houston, TX 77004"
Lulu's,"2518 Kirby Dr, Houston, TX 77019"
Lynn's Steakhouse,"955 Dairy Ashford Rd, Houston, TX 77079"
MAD HOUSTON,"4444 Westheimer Rd Suite C180, Houston, TX 77027"
Maison Pucha Bistro,"1001 Studewood St, Houston, TX 77008"
MaKiin,"2651 Kipling St, Houston, TX 77098"
Maldo's Steak & Ocean,"11025 N Fwy Rd, Houston, TX 77037"
Marmo Italian,"888 Westheimer Rd Suite 109, Houston, TX 77006"
Marvino's Italian Steakhouse,"24002 Northwest Fwy, Cypress, TX 77429"
Masraff's,"9655 Katy Fwy, Houston, TX 77024"
Mastro's Ocean Club,"9595 Six Pines Dr Suite 100, The Woodlands, TX 77380"
Mastro's Steakhouse,"1650 W Loop S, Houston, TX 77027"
Mayahuel,"811 Buffalo Park Dr Suite 130, Houston, TX 77019"
McCormick & Schmick's,"1151 Uptown Park Blvd, Houston, TX 77056"
Melting Pot,"6100 Westheimer Rd, Houston, TX 77057"
Messina Hof Harvest Green Winery & Kitchen,"8921 Harlem Rd, Richmond, TX 77406"
Mexican Sugar,"3320 White Oak Dr, Houston, TX 77007"
MONTROSE COUNTRY CLUB,"202 Tuam St, Houston, TX 77006"
Morton's Grille,"25 Waterway Ave, The Woodlands, TX 77380"
Morton's The Steakhouse,"5000 Westheimer Rd, Houston, TX 77056"
Mortons The Steakhouse,"1001 McKinney St, Houston, TX 77002"
Murray's Pizza & Wine,"9655 Katy Fwy, Suite 3110, Houston, TX 77024"
Navy Blue,"2445 Times Blvd, Houston, TX 77005"
Nobu,"5115 Westheimer Rd, Houston, TX 77056"
Noon Mirch Kitchen + Bar,"505 E NASA Pkwy, Webster, TX 77598"
Nori Nori,"9938 Bellaire Blvd Suite G, Houston, TX 77036"
Norigami,"2715 Bissonnet St, Houston, TX 77005"
North Italia - City Centre,"1700 Post Oak Blvd, Houston, TX 77056"
North Italia - Post Oak,"1700 Post Oak Blvd, Houston, TX 77056"
North Italia - The Woodlands,"1201 Lake Woodlands Dr, The Woodlands, TX 77380"
NUA Thai Restaurant,"2020 Louisiana St, Houston, TX 77002"
Numero 28 Highland Village,"3974 Westheimer Rd, Houston, TX 77027"
Nundini Chef's Table,"500 N Shepherd Dr, Houston, TX 77007"
Okto,"888 Westheimer Rd Suite 119, Houston, TX 77006"
Oporto Fooding House & Wine,"125 W Gray St, Houston, TX 77019"
Osha Thai Kitchen,"2402 Texas Ave, Houston, TX 77003"
Osso & Kristalla,"1515 Texas Ave, Houston, TX 77002"
Ouisie's Table,"3939 San Felipe St, Houston, TX 77027"
Pane e Vino Ristorante Italiano,"8945 Katy Fwy, Houston, TX 77024"
Pearl and Vine,"26151 Nelson Way, Katy, TX 77494"
Perry's Steakhouse & Grille - Baybrook,"700 Baybrook Mall Dr, Friendswood, TX 77546"
Perry's Steakhouse & Grille - Champions,"9730 Cypresswood Dr, Houston, TX 77070"
Perry's Steakhouse & Grille - Katy,"23501 Cinco Ranch Blvd, Katy, TX 77494"
Perry's Steakhouse & Grille - Memorial City,"9827 Katy Fwy, Houston, TX 77024"
Perry's Steakhouse & Grille - Sugar Land,"2115 Town Square Pl, Sugar Land, TX 77479"
Perry's Steakhouse & Grille - The Woodlands,"6700 Woodlands Pkwy, The Woodlands, TX 77382"
Perseid,"4110 Loretto Dr, Houston, TX 77006"
Phat Eatery - Katy,"23119 Colonial Pkwy, Katy, TX 77449"
Phat Eatery - The Woodlands,"2290 Buckthorne Pl, The Woodlands, TX 77380"
Pizza & Pints,"2037 Mangum Rd, Houston, TX 77092"
Pizzana,"2029 W Gray St, Houston, TX 77019"
Pondicheri,"2800 Kirby Dr, Houston, TX 77098"
Porta'Vino - The Woodlands,"207 E Shore Dr, The Woodlands, TX 77380"
Potente,"1515 Texas Ave, Houston, TX 77002"
Prime 131,"131 W 11th St, Houston, TX 77008"
Private Client at Chapman & Kirby,"2118 Lamar St, Houston, TX 77003"
Rainbow Lodge,"2011 Ella Blvd, Houston, TX 77008"
Real Agave,"1100 Louisiana St, Houston, TX 77002"
Red Flame Steak and Grill - Katy,"3211 Grand Pkwy, Katy, TX 77449"
Red Flame Steak and Grill - Magnolia,"7214 FM 1488, Magnolia, TX 77354"
Relish Restaurant & Bar,"2810 Westheimer Rd, Houston, TX 77098"
REMTON - BAY AREA & WEBSTER,"20810 Gulf Fwy, Webster, TX 77598"
REMTON - PEARLAND & FRIENDSWOOD,"1635 E Broadway St, Pearland, TX 77581"
Rim Tanon,"2241 Richmond Ave, Houston, TX 77098"
rise Souffle,"1700 Post Oak Blvd, Houston, TX 77056"
Roma,"2347 University Blvd, Houston, TX 77005"
Roost Restaurant,"1972 Fairview St, Houston, TX 77019"
Rossa Room Speakeasy,"4564 Bissonnet St, Bellaire, TX 77401"
RUGGLES BLACK,"3963 Kirby Dr, Houston, TX 77098"
Sal e Brasa Brazilian Steakhouse,"19315 David Memorial Dr, Shenandoah, TX 77385"
Sal Y Pimienta Kitchen,"818 Town and Country Blvd, Houston, TX 77024"
Salento Bistrot,"2407 Rice Blvd, Houston, TX 77005"
Saltgrass Steak House Baytown,"6614 Garth Rd, Baytown, TX 77521"
Saltgrass Steak House Conroe,"810 I-45 North, Conroe, TX 77304"
Saltgrass Steak House Cypress,"23952 Northwest Fwy, Cypress, TX 77429"
Saltgrass Steak House Downtown Houston,"1001 Avenida De Las Americas, Houston, TX 77010"
Saltgrass Steak House East Freeway,"11414 East Fwy, Houston, TX 77029"
Saltgrass Steak House Fulshear,"8506 Syms St, Fulshear, TX 77441"
Saltgrass Steak House Gulfgate,"504 Gulfgate Center Mall, Houston, TX 77087"
Saltgrass Steak House Humble,"20090 US-59, Humble, TX 77338"
Saltgrass Steak House 1-45 North,"14909 North Fwy, Houston, TX 77090"
Saltgrass Steak House Katy (Mason),"21855 Katy Fwy, Katy, TX 77450"
Saltgrass Steak House Katy Freeway (Campbell Rd.),"8943 Katy Fwy, Houston, TX 77024"
Saltgrass Steak House Meyerland,"Meyerland Plaza, Houston, TX 77096"
Saltgrass Steak House New Caney,"21516 US-59, New Caney, TX 77357"
Saltgrass Steak House Pasadena/Deer Park,"3233 E Sam Houston Pkwy S, Pasadena, TX 77505"
Saltgrass Steak House Pearland,"3251 Silverlake Village Dr, Pearland, TX 77584"
Saltgrass Steak House Shepherd,"1803 Shepherd Dr, Houston, TX 77007"
Saltgrass Steak House Southwest Freeway,"710 E-Tex Fwy, Houston, TX 77027"
Saltgrass Steak House Sugar Land,"15181 Southwest Fwy, Sugar Land, TX 77478"
Saltgrass Steak House The Woodlands,"19533 Interstate 45 S, Shenandoah, TX 77385"
Saltgrass Steak House Webster/Gulf Freeway,"20241 Gulf Fwy, Webster, TX 77598"
Saltgrass Steak House Willow Brook,"17275 Tomball Pkwy, Houston, TX 77064"
Schafer's Coastal Bar & Grille,"1002 Aspen Road, Clear Lake Shores, TX 77565"
Seasons 52 City Centre,"842 W Sam Houston Pkwy N, Houston, TX 77024"
Shredders Pizza,"1777 Airline Dr, Houston, TX 77009"
Silk Road,"2929 Westpark Dr, Houston, TX 77005"
Snap-a-Box,"29807 Jordan Crossing Blvd, Suite 700, Katy, TX 77494"
Socarrat,"22762 Westheimer Pkwy, Katy, TX 77450"
Sol7,"1717 Allen Pkwy, Houston, TX 77019"
Sorrento Ristorante,"415 Westheimer Rd, Houston, TX 77006"
Soto Houston,"224 Westheimer Rd, Houston, TX 77006"
Sotos Cantina #1,"10609 Grant Rd, Houston, TX 77070"
Sotos Cantina #2,"17045 Stuebner Airline Rd, Spring, TX 77379"
Southern Yankee Crafthouse,"1312 W Alabama St, Houston, TX 77006"
State Fare Kitchen & Bar,"947 Gessner Rd, Houston, TX 77024"
Street to Kitchen,"3401 Harrisburg Blvd, Houston, TX 77003"
Sushi by Hidden,"5216 Washington Ave, Houston, TX 77007"
SUSHI BY THE HEIGHTS,"104 N 10th St, Houston, TX 77008"
Sylvia's Enchilada Kitchen,"6401 Woodway Dr, Houston, TX 77057"
Tavern By Hearsay,"737 Preston St, Houston, TX 77002"
Ten Sushi & Cocktail Bar,"4200 Westheimer Rd, Houston, TX 77027"
Thai Cafe,"917 Franklin St Suite 101, Houston, TX 77002"
Thai Cottage Sugar Land,"1535 Hwy 6, Sugar Land, TX 77478"
Thai cuisine and sushi bar,"Houston, TX"
The Annie Cafe & Bar,"1800 Post Oak Blvd, Houston, TX 77056"
The Blind Goat,"8145 Long Point Rd, Houston, TX 77055"
The Capital Grille - The Woodlands,"1155 Lake Woodlands Dr, The Woodlands, TX 77380"
The Capital Grille Galleria,"5365 Westheimer Rd, Houston, TX 77056"
The Chef's Table River Oaks,"2048 W Gray St, Houston, TX 77019"
The Chef's Table Vintage Park,"110 Vintage Park Blvd, Houston, TX 77070"
The Green Room Restaurant,"1343 Yale St, Houston, TX 77008"
The Henry Houston,"700 Town & Country Blvd, Houston, TX 77024"
The Lymbar,"4201 Main St, Houston, TX 77002"
The Nash Houston,"1111 Rusk St, Houston, TX 77002"
The Palm,"1201 Fannin St, Houston, TX 77002"
The Red Lion Houston,"2316 S Shepherd Dr, Houston, TX 77019"
The Sunrise House,"1830 W Alabama St, Houston, TX 77098"
The Westin Houston Downtown - Ballpark Café,"1520 Texas Ave, Houston, TX 77002"
Toca Madera Houston,"1755 Allen Pkwy, Houston, TX 77019"
Tommys Restaurant Oyster Bar,"2555 Bay Area Blvd, Houston, TX 77058"
Tonight & Tomorrow at La Colombe d'Or Hotel,"3410 Montrose Blvd, Houston, TX 77006"
Toro Toro,"1300 Lamar St, Houston, TX 77010"
Tourao Brazilian Churrasqueria - Steakhouse (Katy),"24515 Katy Fwy #100, Katy, TX 77494"
Tourao Brazilian Churrasqueria - Steakhouse (Montrose),"4412 Montrose Blvd, Houston, TX 77006"
Trattoria Pizza Pasta,"10211 Cypresswood Dr, Houston, TX 77070"
Trattoria Sofia,"911 W 11th St, Houston, TX 77008"
Traveler's Cart,"1401 Montrose Blvd, Houston, TX 77019"
Traveler's Table,"520 Westheimer Rd, Houston, TX 77006"
Truluck's Ocean's Finest Seafood & Crab - Houston,"5350 Westheimer Rd, Houston, TX 77056"
Truluck's Ocean's Finest Seafood & Crab - The Woodlands,"1900 Hughes Landing Blvd, The Woodlands, TX 77380"
URBE,"1121 Uptown Park Blvd, Houston, TX 77056"
Vic & Anthony's Steakhouse,"1510 Texas Ave, Houston, TX 77002"
Vino and Vinyl Supper Club,"3340 FM 1092 Rd, Missouri City, TX 77459"
Warehouse 72,"7620 Katy Fwy, Houston, TX 77024"
Willie G's Seafood,"1640 W Loop S, Houston, TX 77027"
Winnie's,"3622 Main St, Houston, TX 77002"
Winsome Prime Houston,"5888 Westheimer Rd, Houston, TX 77057"
Wunsche Bros Cafe And Saloon - Old Town Spring / The Woodlands,"103 Midway St, Spring, TX 77373"
Xalisko Cocina Mexicana,"1335 Lake Woodlands Dr, The Woodlands, TX 77380"
Xochi,"1777 Walker St, Houston, TX 77010"
Yark Green Thai Restaurant,"23227 Mercantile Pkwy, Katy, TX 77449"
Zaab Der Thai Cuisine,"13602 University Blvd, Sugar Land, TX 77479"
Zammittis Italian Ristorante,"23612 US-59, Kingwood, TX 77339"
Zanti River Oaks,"1958 W Gray St, Houston, TX 77019"
Zanti The Woodlands,"10000 Research Forest Dr, The Woodlands, TX 77354"
Zaranda,"1550 Lamar St, Houston, TX 77010"
